1,12,11,0
2,11,10,0
3,10,6,0
4,6,4,0
5,4,2,0
6,2,1,0
7,1,3,0
8,3,5,0
9,5,7,0
10,19,18,0
11,18,17,0
12,17,15,0
13,15,14,0
14,14,13,0
15,13,8,0
16,8,7,0
17,12,9,0
18,9,7,0
19,19,21,0
20,21,25,0
21,25,28,0
22,28,26,0
23,26,23,0
24,23,16,0
25,16,12,0
26,30,27,0
27,27,20,0
28,20,19,0
29,33,32,0
30,32,29,0
31,29,24,0
32,24,22,0
33,22,30,0
34,42,41,0
35,41,34,0
36,34,31,0
37,31,30,0
38,42,43,0
39,43,40,0
40,40,38,0
41,38,37,0
42,37,36,0
43,36,33,0
44,45,39,0
45,39,35,0
46,35,33,0
47,59,50,0
48,50,44,0
49,44,42,0
50,49,46,0
51,46,45,0
52,78,73,0
53,73,57,0
54,57,47,0
55,47,45,0
56,52,48,0
57,48,49,0
58,83,77,0
59,77,56,0
60,56,49,0
61,55,51,0
62,51,52,0
63,60,54,0
64,54,53,0
65,53,55,0
66,92,89,0
67,89,71,0
68,71,52,0
69,59,58,0
70,58,60,0
71,103,95,0
72,95,81,0
73,81,55,0
74,61,59,0
75,114,104,0
76,104,99,0
77,99,91,0
78,91,74,0
79,74,66,0
80,66,60,0
81,97,90,0
82,90,80,0
83,80,70,0
84,70,68,0
85,68,63,0
86,63,62,0
87,62,61,0
88,82,76,0
89,76,69,0
90,69,61,0
91,239,245,0
92,245,236,0
93,236,237,0
94,237,233,0
95,233,230,0
96,230,215,0
97,215,198,0
98,198,65,0
99,65,64,0
100,64,67,0
101,67,72,0
102,72,75,0
103,100,96,0
104,96,79,0
105,79,75,0
106,122,117,0
107,117,75,0
108,83,78,0
109,100,94,0
110,94,85,0
111,85,78,0
112,97,98,0
113,98,93,0
114,93,88,0
115,88,87,0
116,87,84,0
117,84,82,0
118,127,119,0
119,119,105,0
120,105,86,0
121,86,82,0
122,92,83,0
123,107,92,0
124,123,102,0
125,102,97,0
126,108,101,0
127,106,101,0
128,107,112,0
129,112,111,0
130,111,103,0
131,114,103,0
132,107,110,0
133,110,109,0
134,109,106,0
138,131,116,0
139,116,108,0
140,142,120,0
141,120,115,0
142,115,108,0
143,118,114,0
146,167,153,0
147,153,135,0
148,135,118,0
149,136,130,0
150,130,124,0
151,124,123,0
152,158,147,0
153,147,139,0
154,139,134,0
155,134,129,0
156,129,125,0
157,155,146,0
158,146,128,0
159,128,122,0
160,239,221,0
161,221,190,0
162,190,138,0
163,138,133,0
164,133,122,0
167,132,127,0
170,155,131,0
171,150,141,0
